PeakCoordinates,log2 Fold Change GR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change GR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
1:124832134-124832638,6.66,4.42E-27,1.68E-25,ENSRNOG00000015822,Klf13,28772,,5:166906617-166907143,6.75,2.52E-14,9.58E-13,ENSRNOG00000061404,AABR07050484.1,5504
8:48415766-48416308,6.48,6.77E-27,2.48E-25,ENSRNOG00000006663,Usp2,0,,1:221209104-221209649,5.06,3.16E-14,1.14E-12,ENSRNOG00000020881,Frmd8,3659
1:165839672-165840352,8.58,1.09E-26,3.85E-25,ENSRNOG00000018873,Fam168a,0,,8:53068778-53069597,4.6,3.23E-14,1.14E-12,ENSRNOG00000029980,Zbtb16,0
11:64640954-64641505,8.34,2.00E-26,6.87E-25,ENSRNOG00000003088,Arhgap31,0,,7:59260920-59262075,5.34,4.01E-14,1.38E-12,ENSRNOG00000004483,Ptprr,0
6:99923249-99923752,5.41,2.99E-26,9.94E-25,ENSRNOG00000007660,Fntb,0,,4:159131339-159131937,5.95,5.82E-14,1.93E-12,ENSRNOG00000019719,Kcna5,52337
3:108793935-108794488,5.8,3.60E-26,1.16E-24,ENSRNOG00000005209,Spred1,747,,4:99937351-99937811,6.71,6.15E-14,1.98E-12,ENSRNOG00000010284,St3gal5,0
1:221209104-221209649,5.99,4.82E-26,1.50E-24,ENSRNOG00000020881,Frmd8,3659,,3:7098884-7099433,5.55,1.14E-13,3.56E-12,ENSRNOG00000010219,Ralgds,10487
3:156806057-156806633,4.12,4.96E-26,1.51E-24,ENSRNOG00000027988,Zhx3,28059,,17:22792829-22793319,5.9,1.25E-13,3.80E-12,ENSRNOG00000058495,AABR07027283.1,17935
3:161812809-161813612,6.68,6.11E-26,1.71E-24,ENSRNOG00000018557,Cdh22,0,,3:81885519-81885997,5.26,1.42E-13,4.18E-12,ENSRNOG00000008674,Prdm11,0
8:54262451-54262966,6.99,6.04E-26,1.71E-24,ENSRNOG00000053732,AABR07070131.2,358643,,12:40898317-40899057,5.53,1.45E-13,4.18E-12,ENSRNOG00000030124,Ptpn11,0
17:12230214-12230701,6.33,5.96E-26,1.71E-24,ENSRNOG00000060985,SNORA17,28045,,12:48458230-48458681,6.39,1.92E-13,5.36E-12,ENSRNOG00000000695,Ssh1,11254
9:93461479-93461971,3.01,6.67E-26,1.82E-24,ENSRNOG00000018559,LOC501180,15060,,8:102737036-102737592,4.52,2.01E-13,5.49E-12,ENSRNOG00000008554,Slc9a9,0
10:37371643-37372317,4.55,9.22E-26,2.45E-24,ENSRNOG00000055800,U6,46636,,1:240902289-240903791,3.19,2.48E-13,6.60E-12,ENSRNOG00000014215,Klf9,4692
17:22792829-22793319,7.11,1.51E-25,3.91E-24,ENSRNOG00000058495,AABR07027283.1,17935,,10:94456783-94457392,5.08,3.01E-13,7.68E-12,ENSRNOG00000010557,Smarcd2,0
2:197991500-197992016,6.37,1.61E-25,4.07E-24,ENSRNOG00000042717,Ciart,0,,14:83721019-83721499,4.97,3.04E-13,7.68E-12,ENSRNOG00000025121,Pla2g3,3434
20:7998710-7999412,4.59,2.29E-25,5.66E-24,ENSRNOG00000022523,Fkbp5,0,,20:8102804-8103512,3.22,3.54E-13,8.74E-12,ENSRNOG00000000508,Armc12,6123
7:125544399-125545132,4.83,5.07E-25,1.20E-23,ENSRNOG00000012475,Prr5,31195,,5:140655060-140655772,4.3,3.73E-13,9.02E-12,ENSRNOG00000014008,Mfsd2a,0
8:117266211-117266724,6.03,5.07E-25,1.20E-23,ENSRNOG00000047768,Lamb2,1613,,8:62496736-62497171,5.06,5.65E-13,1.32E-11,ENSRNOG00000019579,Edc3,0
11:31462699-31463168,5.41,7.59E-25,1.75E-23,ENSRNOG00000028648,Olig1,32183,,19:11908476-11909177,4.73,5.70E-13,1.32E-11,ENSRNOG00000061917,AABR07042840.1,121699
8:71740823-71741262,5.32,1.26E-24,2.84E-23,ENSRNOG00000017029,Snx1,4634,,15:2813499-2813999,4.45,6.10E-13,1.38E-11,ENSRNOG00000012850,Kat6b,0
16:19224974-19225673,4.24,2.81E-24,6.22E-23,ENSRNOG00000014205,Klf2,0,,6:99923249-99923752,4.8,6.53E-13,1.45E-11,ENSRNOG00000007660,Fntb,0
5:166906617-166907143,7.92,6.71E-24,1.45E-22,ENSRNOG00000061404,AABR07050484.1,5504,,2:123546868-123547378,5.03,7.02E-13,1.49E-11,ENSRNOG00000038436,RGD1307100,8295
10:64458231-64458868,6.35,1.62E-23,3.44E-22,ENSRNOG00000008178,Nxn,0,,18:76830472-76830996,3.75,6.94E-13,1.49E-11,ENSRNOG00000053640,Kcng2,0
16:58956546-58957006,5.53,2.75E-23,5.74E-22,ENSRNOG00000058029,SNORA2,16165,,5:166744409-166744887,6.03,1.04E-12,2.16E-11,ENSRNOG00000016949,Slc25a33,17616
7:109024147-109024956,5.87,3.54E-23,7.22E-22,ENSRNOG00000025140,Zfat,12832,,10:55685577-55686393,3.95,1.07E-12,2.18E-11,ENSRNOG00000007387,Per1,657
3:164511604-164512126,7.87,5.47E-23,1.10E-21,ENSRNOG00000057347,Cebpb,85695,,5:72885665-72886317,4.01,1.25E-12,2.51E-11,ENSRNOG00000057406,AABR07048321.1,6021
5:167774636-167775201,4.35,6.14E-23,1.21E-21,ENSRNOG00000018229,Slc45a1,78289,,7:123070244-123070931,3.9,1.31E-12,2.54E-11,ENSRNOG00000050500,Tob2,8606
1:78999212-78999937,6.86,7.24E-23,1.40E-21,ENSRNOG00000017198,Hif3a,1344,,16:58956546-58957006,4.9,1.30E-12,2.54E-11,ENSRNOG00000058029,SNORA2,16165
19:57777947-57778393,5.2,8.13E-23,1.54E-21,ENSRNOG00000049784,Tsnax,0,,7:72772296-72772841,5.32,1.41E-12,2.67E-11,ENSRNOG00000006870,Mtdh,0
17:13391526-13391993,7.76,1.34E-22,2.49E-21,ENSRNOG00000013090,Gadd45g,0,,7:77434183-77434748,4.82,1.74E-12,3.24E-11,ENSRNOG00000005333,Azin1,61786
4:122373427-122374173,3.95,1.72E-22,3.15E-21,ENSRNOG00000017808,Klf15,0,,1:177148952-177149386,4.45,2.15E-12,3.81E-11,ENSRNOG00000016244,Mical2,0
14:44774075-44774524,5.23,2.29E-22,4.12E-21,ENSRNOG00000002932,Wdr19,6956,,5:172888050-172888553,6.09,2.14E-12,3.81E-11,ENSRNOG00000016618,Tmem52,0
9:19527437-19528037,7.62,3.52E-22,6.15E-21,ENSRNOG00000010350,Rcan2,0,,8:54262451-54262966,5.48,2.12E-12,3.81E-11,ENSRNOG00000053732,AABR07070131.2,358643
3:121275681-121276246,5.93,3.53E-22,6.15E-21,ENSRNOG00000017319,Mertk,0,,4:146260122-146260594,6.02,2.43E-12,4.24E-11,ENSRNOG00000006527,Slc6a1,16268
10:16942387-16943031,7.71,4.69E-22,8.04E-21,ENSRNOG00000053789,AC111369.1,5629,,20:29527833-29528669,3.68,2.73E-12,4.69E-11,ENSRNOG00000000576,Anapc16,15960
11:79424727-79425284,5.6,6.50E-22,1.10E-20,ENSRNOG00000031669,Lpp,0,,16:20357789-20358289,5.65,2.80E-12,4.72E-11,ENSRNOG00000019009,Arrdc2,1178
7:77434183-77434748,5.48,6.67E-22,1.11E-20,ENSRNOG00000005333,Azin1,61786,,3:108793935-108794488,4.83,2.99E-12,4.97E-11,ENSRNOG00000005209,Spred1,747
3:81507404-81507938,6.7,1.22E-21,2.00E-20,ENSRNOG00000007989,Chst1,0,,10:4974417-4974748,5.09,3.37E-12,5.51E-11,ENSRNOG00000002568,Socs1,15957
3:165428521-165429084,5.7,1.32E-21,2.12E-20,ENSRNOG00000049484,Atp9a,0,,1:165839672-165840352,6.15,3.91E-12,6.29E-11,ENSRNOG00000018873,Fam168a,0
15:42941182-42941680,3.64,1.37E-21,2.18E-20,ENSRNOG00000027839,Ptk2b,0,,1:219078289-219078806,5.94,4.83E-12,7.66E-11,ENSRNOG00000016791,Chka,0
2:140705986-140707036,4.79,1.44E-21,2.25E-20,ENSRNOG00000061857,Mgst2,1361,,15:13358433-13358871,5.21,5.41E-12,8.45E-11,ENSRNOG00000009419,Ptprg,129827
17:5921107-5921571,5.63,1.93E-21,2.97E-20,ENSRNOG00000018839,Ntrk2,12158,,5:169656904-169657710,5.99,5.70E-12,8.65E-11,ENSRNOG00000011550,Kcnab2,0
9:62313368-62313788,5.01,2.24E-21,3.40E-20,ENSRNOG00000032659,Plcl1,0,,17:12230214-12230701,5.18,5.68E-12,8.65E-11,ENSRNOG00000060985,SNORA17,28045
16:7784750-7785426,5.54,2.42E-21,3.62E-20,ENSRNOG00000019656,Btd,0,,11:79895787-79896323,3.79,6.70E-12,1.00E-10,ENSRNOG00000051729,U7,80428
3:164579625-164580290,5.54,3.09E-21,4.56E-20,ENSRNOG00000060501,AABR07054619.1,45651,,7:143811267-143811750,5.48,7.66E-12,1.13E-10,ENSRNOG00000012192,Znf740,0
1:240902289-240903791,3.67,3.31E-21,4.82E-20,ENSRNOG00000014215,Klf9,4692,,4:11405221-11405728,5.18,7.90E-12,1.15E-10,ENSRNOG00000013962,Magi2,0
1:46826673-46827136,5.45,4.15E-21,5.96E-20,ENSRNOG00000046874,Snx9,844,,13:52169317-52169953,3.83,9.38E-12,1.35E-10,ENSRNOG00000051548,Lmod1,0
11:79737829-79738664,6.78,4.33E-21,6.13E-20,ENSRNOG00000031669,Lpp,34094,,10:16859496-16859925,5.91,1.18E-11,1.67E-10,ENSRNOG00000003508,Ergic1,0
5:58397995-58398404,4.31,5.18E-21,7.24E-20,ENSRNOG00000000130,Dnajb5,0,,13:113405536-113406012,4.87,1.28E-11,1.79E-10,ENSRNOG00000007324,Plxna2,0
5:167968790-167969245,6.73,5.77E-21,7.96E-20,ENSRNOG00000058186,Errfi1,2782,,11:79737829-79738664,5.43,1.34E-11,1.85E-10,ENSRNOG00000031669,Lpp,34094
10:57369083-57369481,4.98,6.39E-21,8.70E-20,ENSRNOG00000005009,Zfp3,16747,,5:169826359-169826802,4.49,1.39E-11,1.89E-10,ENSRNOG00000057128,AABR07050561.1,71500
9:41076380-41076853,3.04,1.17E-20,1.57E-19,ENSRNOG00000014001,Prss40,6452,,10:64422160-64422606,4.57,1.42E-11,1.91E-10,ENSRNOG00000008178,Nxn,0
8:66509420-66509881,6.04,1.54E-20,2.04E-19,ENSRNOG00000052283,AABR07070345.1,71422,,14:107439979-107440452,5.28,1.60E-11,2.12E-10,ENSRNOG00000033346,LOC100361636,44595
7:66962899-66963339,6.17,1.61E-20,2.11E-19,ENSRNOG00000004314,Ppm1h,0,,6:76226851-76227378,4.46,1.63E-11,2.13E-10,ENSRNOG00000007114,Psma6,21426
19:57903132-57903571,5.33,1.89E-20,2.45E-19,ENSRNOG00000019779,Disc1,0,,12:50792192-50792841,5.48,1.71E-11,2.22E-10,ENSRNOG00000059217,AABR07036627.1,140372
5:150199126-150199674,4.5,1.95E-20,2.47E-19,ENSRNOG00000010037,Epb4.1,32050,,5:167968790-167969245,5.6,1.77E-11,2.26E-10,ENSRNOG00000058186,Errfi1,2782
16:17604151-17604645,4.8,1.94E-20,2.47E-19,ENSRNOG00000042623,Sh2d4b,6470,,15:28314300-28315056,3.35,2.00E-11,2.53E-10,ENSRNOG00000010389,Ndrg2,0
4:146260122-146260594,7.36,2.20E-20,2.75E-19,ENSRNOG00000006527,Slc6a1,16268,,18:5582814-5583362,3.98,2.26E-11,2.83E-10,ENSRNOG00000052385,AABR07031247.1,1963
17:46727804-46728221,5.59,2.28E-20,2.81E-19,ENSRNOG00000059705,Elmo1,0,,5:161321042-161321927,4.64,2.30E-11,2.84E-10,ENSRNOG00000054558,AABR07050336.1,201015
1:49124708-49125238,4.96,2.94E-20,3.59E-19,ENSRNOG00000055141,AABR07001518.1,7130,,1:49124708-49125238,4.28,2.47E-11,3.01E-10,ENSRNOG00000055141,AABR07001518.1,7130
5:151301047-151301458,5.52,3.73E-20,4.50E-19,ENSRNOG00000042855,Ahdc1,23883,,15:108290508-108290856,4.6,2.54E-11,3.03E-10,ENSRNOG00000012710,Ubac2,0
4:99937351-99937811,7.18,3.78E-20,4.51E-19,ENSRNOG00000010284,St3gal5,0,,19:57903132-57903571,4.7,2.53E-11,3.03E-10,ENSRNOG00000019779,Disc1,0
12:13853292-13853827,7.14,4.61E-20,5.44E-19,ENSRNOG00000024482,Tnrc18,0,,10:16778260-16778775,4.23,2.62E-11,3.10E-10,ENSRNOG00000003269,Atp6v0e1,0
7:143811267-143811750,6.2,5.08E-20,5.93E-19,ENSRNOG00000012192,Znf740,0,,3:121275681-121276246,4.85,2.91E-11,3.39E-10,ENSRNOG00000017319,Mertk,0
6:51171879-51172418,4.85,5.35E-20,6.18E-19,ENSRNOG00000056610,Cog5,0,,20:7998710-7999412,3.74,3.15E-11,3.64E-10,ENSRNOG00000022523,Fkbp5,0
9:15506857-15507363,3.54,6.13E-20,7.01E-19,ENSRNOG00000015249,RGD1562299,5700,,8:117266211-117266724,4.81,3.18E-11,3.64E-10,ENSRNOG00000047768,Lamb2,1613
11:73312489-73312977,6.5,7.28E-20,8.23E-19,ENSRNOG00000001729,Xxylt1,0,,9:98574870-98575283,4.78,3.37E-11,3.81E-10,ENSRNOG00000020254,Per2,0
15:13358433-13358871,5.94,8.11E-20,9.06E-19,ENSRNOG00000009419,Ptprg,129827,,11:47537617-47538141,4.2,3.69E-11,4.12E-10,ENSRNOG00000056680,U6,218060
16:61740437-61740898,3.82,8.63E-20,9.55E-19,ENSRNOG00000012329,Saraf,0,,3:156806057-156806633,3.65,3.80E-11,4.18E-10,ENSRNOG00000027988,Zhx3,28059
1:24548472-24548983,4.72,9.04E-20,9.89E-19,ENSRNOG00000059251,1700020N01Rik,22257,,15:58884614-58885122,5.88,3.82E-11,4.18E-10,ENSRNOG00000057847,AABR07018459.1,49523
20:8102804-8103512,3.52,1.02E-19,1.10E-18,ENSRNOG00000000508,Armc12,6123,,16:79708278-79708833,5.8,3.91E-11,4.21E-10,ENSRNOG00000012333,Kbtbd11,7287
6:27802075-27802597,4.71,1.07E-19,1.15E-18,ENSRNOG00000011394,Kif3c,0,,1:46826673-46827136,4.56,3.92E-11,4.21E-10,ENSRNOG00000046874,Snx9,844
10:55685577-55686393,4.66,1.11E-19,1.17E-18,ENSRNOG00000007387,Per1,657,,13:109042030-109042744,3.95,4.00E-11,4.25E-10,ENSRNOG00000003407,Ptpn14,200520
5:140655060-140655772,5.01,1.13E-19,1.17E-18,ENSRNOG00000014008,Mfsd2a,0,,8:45406675-45407101,5.83,4.04E-11,4.25E-10,ENSRNOG00000008187,Ubash3b,31241
14:107439979-107440452,6.17,1.11E-19,1.17E-18,ENSRNOG00000033346,LOC100361636,44595,,5:58848156-58848888,5.75,4.56E-11,4.75E-10,ENSRNOG00000045843,Rusc2,6885
2:29334518-29335119,5.11,1.14E-19,1.18E-18,ENSRNOG00000017249,Zfp366,75460,,7:66962899-66963339,5.26,5.01E-11,5.17E-10,ENSRNOG00000004314,Ppm1h,0
18:5582814-5583362,4.45,1.31E-19,1.34E-18,ENSRNOG00000052385,AABR07031247.1,1963,,15:37409628-37410028,5.56,5.09E-11,5.20E-10,ENSRNOG00000022116,Gjb6,0
20:8091796-8092295,5.67,1.37E-19,1.39E-18,ENSRNOG00000000508,Armc12,17340,,9:19527437-19528037,6.01,5.33E-11,5.40E-10,ENSRNOG00000010350,Rcan2,0
7:72772296-72772841,5.56,1.73E-19,1.74E-18,ENSRNOG00000006870,Mtdh,0,,1:24548472-24548983,4.36,5.51E-11,5.52E-10,ENSRNOG00000059251,1700020N01Rik,22257
8:45406675-45407101,7.06,1.95E-19,1.93E-18,ENSRNOG00000008187,Ubash3b,31241,,16:7784750-7785426,4.82,6.58E-11,6.54E-10,ENSRNOG00000019656,Btd,0
9:66715709-66716163,5.02,2.20E-19,2.17E-18,ENSRNOG00000022066,Fam117b,806,,11:79424727-79425284,4.58,7.59E-11,7.35E-10,ENSRNOG00000031669,Lpp,0
1:82573850-82574279,5.32,2.57E-19,2.50E-18,ENSRNOG00000020716,Axl,0,,3:150210299-150210667,4.42,7.63E-11,7.35E-10,ENSRNOG00000046585,AABR07054370.1,0
6:76226851-76227378,5.26,2.67E-19,2.58E-18,ENSRNOG00000007114,Psma6,21426,,11:79117788-79118600,3.12,7.68E-11,7.35E-10,ENSRNOG00000051670,AABR07034573.1,15222
13:113405536-113406012,5.28,3.03E-19,2.90E-18,ENSRNOG00000007324,Plxna2,0,,3:9498717-9499658,4.37,7.55E-11,7.35E-10,ENSRNOG00000059375,AC142138.2,0
2:31868322-31868994,5.59,3.85E-19,3.65E-18,ENSRNOG00000052924,AABR07007863.1,0,,2:31868322-31868994,4.97,8.25E-11,7.83E-10,ENSRNOG00000052924,AABR07007863.1,0
19:11309618-11310241,4.37,3.92E-19,3.68E-18,ENSRNOG00000043098,Mt2A,879,,14:81823736-81824181,5.89,8.68E-11,8.17E-10,ENSRNOG00000015033,Mxd4,0
4:157761354-157761786,4.37,4.27E-19,3.98E-18,ENSRNOG00000056448,AABR07062033.1,5497,,19:57346542-57346929,5.16,9.39E-11,8.76E-10,ENSRNOG00000018480,Capn9,0
16:79708278-79708833,6.98,4.32E-19,3.99E-18,ENSRNOG00000012333,Kbtbd11,7287,,16:19224974-19225673,3.53,9.53E-11,8.81E-10,ENSRNOG00000014205,Klf2,0
12:50792192-50792841,6.08,4.73E-19,4.33E-18,ENSRNOG00000059217,AABR07036627.1,140372,,17:40485668-40486209,4.55,9.73E-11,8.92E-10,ENSRNOG00000059482,AABR07027672.1,313243
3:148302597-148303698,2.95,4.86E-19,4.41E-18,ENSRNOG00000007946,Bcl2l1,0,,19:57777947-57778393,4.18,1.10E-10,1.00E-09,ENSRNOG00000049784,Tsnax,0
12:48458230-48458681,7.01,4.99E-19,4.49E-18,ENSRNOG00000000695,Ssh1,11254,,2:187572862-187573212,4.09,1.17E-10,1.05E-09,ENSRNOG00000046519,AABR07072748.1,9155
3:117858471-117858845,5.03,5.26E-19,4.70E-18,ENSRNOG00000031585,LOC679683,3991,,19:11290539-11291016,4.51,1.53E-10,1.37E-09,ENSRNOG00000025764,Mt1,11109
20:29484039-29484553,7.05,5.79E-19,5.12E-18,ENSRNOG00000030408,Dnajb12,20302,,7:109024147-109024956,4.84,1.60E-10,1.40E-09,ENSRNOG00000025140,Zfat,12832
16:49266452-49266837,5.25,6.24E-19,5.48E-18,ENSRNOG00000010830,Slc25a4,66,,4:67311870-67312214,4.71,1.60E-10,1.40E-09,ENSRNOG00000026748,Dennd2a,10769
2:123546868-123547378,5.32,6.47E-19,5.64E-18,ENSRNOG00000038436,RGD1307100,8295,,7:125261014-125261682,4.74,1.58E-10,1.40E-09,ENSRNOG00000055305,Parvb,0
13:109042030-109042744,4.12,6.59E-19,5.69E-18,ENSRNOG00000003407,Ptpn14,200520,,2:140705986-140707036,4.07,1.64E-10,1.42E-09,ENSRNOG00000061857,Mgst2,1361
3:173846189-173846631,5.5,7.38E-19,6.32E-18,ENSRNOG00000057996,Phactr3,0,,3:143216289-143216842,3.76,1.73E-10,1.49E-09,ENSRNOG00000005195,Cst3,2844
11:47537617-47538141,4.43,7.45E-19,6.33E-18,ENSRNOG00000056680,U6,218060,,20:46453571-46454121,3.41,1.79E-10,1.52E-09,ENSRNOG00000000299,Foxo3,0
15:37409628-37410028,6.45,8.44E-19,7.10E-18,ENSRNOG00000022116,Gjb6,0,,7:107882567-107883087,5.06,2.13E-10,1.78E-09,ENSRNOG00000008209,St3gal1,12022
8:53068778-53069597,5.23,8.49E-19,7.10E-18,ENSRNOG00000029980,Zbtb16,0,,9:84477339-84477818,4.79,2.10E-10,1.78E-09,ENSRNOG00000014692,Mogat1,58749
5:166744409-166744887,6.39,8.95E-19,7.43E-18,ENSRNOG00000016949,Slc25a33,17616,,5:167774636-167775201,3.78,2.15E-10,1.78E-09,ENSRNOG00000018229,Slc45a1,78289
3:81885519-81885997,5.7,9.51E-19,7.83E-18,ENSRNOG00000008674,Prdm11,0,,4:122373427-122374173,3.63,2.37E-10,1.93E-09,ENSRNOG00000017808,Klf15,0
10:94456783-94457392,5.15,1.00E-18,8.18E-18,ENSRNOG00000010557,Smarcd2,0,,7:23634933-23635379,4.49,2.37E-10,1.93E-09,ENSRNOG00000026866,Syn3,0
1:141917693-141918203,4.44,1.12E-18,9.06E-18,ENSRNOG00000013949,Idh2,23989,,9:81475749-81476133,4.08,2.34E-10,1.93E-09,ENSRNOG00000048239,Cxcr1,6476
12:51485331-51485802,7.08,1.13E-18,9.13E-18,ENSRNOG00000032590,Ttc28,0,,1:225990498-225991054,4.36,2.53E-10,2.04E-09,ENSRNOG00000032929,Incenp,37983
8:102737036-102737592,4.8,1.22E-18,9.65E-18,ENSRNOG00000008554,Slc9a9,0,,2:29334518-29335119,4.55,2.72E-10,2.17E-09,ENSRNOG00000017249,Zfp366,75460
3:140476374-140476860,4.02,1.22E-18,9.65E-18,ENSRNOG00000036964,Ralgapa2,0,,2:189194920-189195375,5.34,2.80E-10,2.22E-09,ENSRNOG00000020797,She,3921
9:81285190-81285852,5.11,1.30E-18,1.02E-17,ENSRNOG00000014182,Tns1,0,,3:124084784-124085312,3.79,3.15E-10,2.48E-09,ENSRNOG00000021255,Smox,0
8:117826151-117826656,4.97,1.30E-18,1.02E-17,ENSRNOG00000020688,Ccdc51,0,,11:73312489-73312977,5.44,3.22E-10,2.50E-09,ENSRNOG00000001729,Xxylt1,0
1:87259049-87259520,4.48,1.32E-18,1.03E-17,ENSRNOG00000020687,Dpf1,980,,14:44774075-44774524,4.37,3.22E-10,2.50E-09,ENSRNOG00000002932,Wdr19,6956
15:108120018-108120708,5.39,1.38E-18,1.07E-17,ENSRNOG00000011969,Dock9,0,,2:29737905-29738420,4.57,3.32E-10,2.54E-09,ENSRNOG00000017428,Map1b,0
3:6136666-6137118,4.52,1.43E-18,1.09E-17,ENSRNOG00000055021,U6atac,52632,,1:87259049-87259520,3.91,3.31E-10,2.54E-09,ENSRNOG00000020687,Dpf1,980
