PeakCoordinates,log2 Fold Change MR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change MR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
3:81776965-81777465,4.54,1.29E-14,5.790E-13,ENSRNOG00000060152,AABR07052894.1,22827,,7:143811325-143811820,5.21,1.35E-11,6.06E-10,ENSRNOG00000012192,Znf740,0
12:16455376-16455897,3.15,1.86E-14,8.130E-13,ENSRNOG00000001265,Mad1l1,0,,8:45406694-45407138,3.95,1.61E-11,7.05E-10,ENSRNOG00000008187,Ubash3b,31260
8:68000644-68001097,4.49,1.91E-14,8.180E-13,ENSRNOG00000057119,U6,23720,,1:73760404-73760835,5.59,1.65E-11,7.05E-10,ENSRNOG00000032699,Ttyh1,7277
10:102329747-102330293,2.77,2.2E-14,9.180E-13,ENSRNOG00000024711,Sdk2,0,,6:129808889-129809565,2.32,1.74E-11,7.26E-10,ENSRNOG00000005274,Vrk1,26354
11:79737733-79738675,2.99,2.46E-14,1.000E-12,ENSRNOG00000031669,Lpp,33998,,20:6352074-6352708,3.65,1.85E-11,7.54E-10,ENSRNOG00000000521,Cdkn1a,0
8:54262522-54262965,4.49,2.97E-14,1.180E-12,ENSRNOG00000053732,AABR07070131.2,358714,,4:67311783-67312232,5.02,1.9E-11,7.55E-10,ENSRNOG00000026748,Dennd2a,10682
20:6352074-6352708,4.57,3.49E-14,1.360E-12,ENSRNOG00000000521,Cdkn1a,0,,15:71642914-71643407,3.36,2.53E-11,9.84E-10,ENSRNOG00000013306,Pcdh20,129370
12:48458201-48458708,4.6,3.91E-14,1.490E-12,ENSRNOG00000000695,Ssh1,11225,,17:22792877-22793293,4.01,2.95E-11,1.12E-09,ENSRNOG00000058495,AABR07027283.1,17961
4:146260167-146260515,4.67,4.23E-14,1.580E-12,ENSRNOG00000006527,Slc6a1,16347,,8:74102619-74103142,4.08,3.26E-11,1.21E-09,ENSRNOG00000057854,AABR07070527.1,49087
5:138093396-138094127,5.82,4.69E-14,1.670E-12,ENSRNOG00000007284,Slc2a1,60546,,3:111523731-111524116,4.7,4.09E-11,1.49E-09,ENSRNOG00000005183,Rtf1,0
8:102737105-102737561,2.89,4.77E-14,1.670E-12,ENSRNOG00000008554,Slc9a9,0,,12:48458201-48458708,4.21,4.24E-11,1.52E-09,ENSRNOG00000000695,Ssh1,11225
10:57331776-57332532,2.81,4.64E-14,1.670E-12,ENSRNOG00000031364,Kif1c,0,,5:166906652-166907085,4.55,4.51E-11,1.58E-09,ENSRNOG00000061404,AABR07050484.1,5539
8:117266297-117266709,6.1,5.87E-14,2.010E-12,ENSRNOG00000047768,Lamb2,1628,,17:12230212-12230672,4.22,5.56E-11,1.91E-09,ENSRNOG00000060985,SNORA17,28043
1:94551792-94552298,4.13,6.45E-14,2.170E-12,ENSRNOG00000056351,U7,9604,,8:68000644-68001097,3.86,5.95E-11,2.00E-09,ENSRNOG00000057119,U6,23720
10:64458282-64458703,6.03,8.61E-14,2.840E-12,ENSRNOG00000008178,Nxn,0,,10:16942418-16942951,5.42,6.43E-11,2.12E-09,ENSRNOG00000053789,AC111369.1,5709
4:67311783-67312232,5.52,1.05E-13,3.400E-12,ENSRNOG00000026748,Dennd2a,10682,,7:11919490-11919843,3.9,7.57E-11,2.45E-09,ENSRNOG00000029028,Mknk2,335
1:142469931-142470415,5.88,1.09E-13,3.460E-12,ENSRNOG00000011975,Crtc3,0,,17:40485713-40486112,4.51,7.98E-11,2.52E-09,ENSRNOG00000059482,AABR07027672.1,313288
15:71642914-71643407,3.52,1.6E-13,4.990E-12,ENSRNOG00000013306,Pcdh20,129370,,3:164579698-164580210,4.06,8.07E-11,2.52E-09,ENSRNOG00000060501,AABR07054619.1,45731
20:8091815-8092234,4.63,1.69E-13,5.170E-12,ENSRNOG00000000508,Armc12,17401,,17:13391565-13392004,4.28,8.39E-11,2.56E-09,ENSRNOG00000013090,Gadd45g,0
7:143811325-143811820,5.63,1.71E-13,5.170E-12,ENSRNOG00000012192,Znf740,0,,12:40898437-40898929,3.52,8.48E-11,2.56E-09,ENSRNOG00000030124,Ptpn11,0
12:13853329-13853759,5.56,2.18E-13,6.370E-12,ENSRNOG00000024482,Tnrc18,0,,15:106543346-106543693,5.35,1.06E-10,3.15E-09,ENSRNOG00000011203,Farp1,0
3:164597968-164598446,3.95,2.15E-13,6.370E-12,ENSRNOG00000060501,AABR07054619.1,27495,,1:131215980-131216360,4.7,1.2E-10,3.49E-09,ENSRNOG00000058019,AABR07004227.1,74464
2:93674970-93675405,5.99,2.48E-13,7.120E-12,ENSRNOG00000010482,Impa1,0,,3:147605280-147605774,2.75,1.37E-10,3.92E-09,ENSRNOG00000031167,Srxn1,3321
18:5582847-5583357,2.6,2.63E-13,7.440E-12,ENSRNOG00000052385,AABR07031247.1,1968,,5:166744463-166744831,5.45,1.52E-10,4.29E-09,ENSRNOG00000016949,Slc25a33,17670
14:44774106-44774516,4.89,2.8E-13,7.770E-12,ENSRNOG00000002932,Wdr19,6987,,1:142034088-142034538,5.31,1.76E-10,4.90E-09,ENSRNOG00000056362,Ttll13,0
5:78296999-78297449,4.11,3.02E-13,8.260E-12,ENSRNOG00000014869,Wdr31,8077,,5:167774612-167775210,1.89,1.9E-10,5.19E-09,ENSRNOG00000018229,Slc45a1,78265
8:117826163-117826502,4.5,3.56E-13,9.590E-12,ENSRNOG00000020688,Ccdc51,0,,10:55741098-55741690,3.68,1.99E-10,5.35E-09,ENSRNOG00000047266,AABR07072133.1,0
11:64640997-64641459,3.86,3.86E-13,1.020E-11,ENSRNOG00000003088,Arhgap31,0,,8:7604239-7604529,4.3,2.22E-10,5.88E-09,ENSRNOG00000026821,Arhgap42,177629
3:9498944-9499533,3.63,4.17E-13,1.090E-11,ENSRNOG00000059375,AC142138.2,0,,4:89503137-89503715,3.56,2.34E-10,6.08E-09,ENSRNOG00000038449,Tigd2,32932
4:112734480-112734905,4.47,4.76E-13,1.220E-11,ENSRNOG00000006968,Mrpl19,27211,,5:167968850-167969205,4.52,2.36E-10,6.08E-09,ENSRNOG00000058186,Errfi1,2842
5:125767708-125768250,5.08,5.5E-13,1.400E-11,ENSRNOG00000022150,AABR07049524.1,94322,,3:9498944-9499533,3,2.48E-10,6.28E-09,ENSRNOG00000059375,AC142138.2,0
11:79895803-79896287,3.42,6.01E-13,1.500E-11,ENSRNOG00000051729,U7,80444,,19:11309592-11310201,4.19,2.6E-10,6.51E-09,ENSRNOG00000043098,Mt2A,853
2:33060065-33060475,5.97,9.68E-13,2.390E-11,ENSRNOG00000027002,Mast4,34795,,8:47634100-47634657,2.58,2.87E-10,7.06E-09,ENSRNOG00000021771,Trim29,39664
5:170641812-170642152,5.9,1E-12,2.430E-11,ENSRNOG00000050137,Ajap1,0,,4:62873580-62874002,2.56,3.31E-10,7.94E-09,ENSRNOG00000011750,Fam180a,13135
3:147605280-147605774,3.02,1.18E-12,2.790E-11,ENSRNOG00000031167,Srxn1,3321,,9:44262115-44262907,1.96,3.3E-10,7.94E-09,ENSRNOG00000018366,RGD1310819,24999
3:165428683-165429084,3.87,1.18E-12,2.790E-11,ENSRNOG00000049484,Atp9a,0,,6:76226958-76227296,3.53,3.72E-10,8.58E-09,ENSRNOG00000007114,Psma6,21533
5:166744463-166744831,5.84,1.56E-12,3.600E-11,ENSRNOG00000016949,Slc25a33,17670,,1:265241772-265242124,4.03,3.71E-10,8.58E-09,ENSRNOG00000016280,Btrc,0
6:60150622-60151007,5.8,1.54E-12,3.600E-11,ENSRNOG00000050997,Ifrd1,0,,15:4139514-4140399,2.18,3.73E-10,8.58E-09,ENSRNOG00000027012,Usp54,0
1:240687904-240688329,4.53,1.76E-12,4.000E-11,ENSRNOG00000027770,Trpm3,0,,15:13358455-13358806,4.83,4.64E-10,1.05E-08,ENSRNOG00000009419,Ptprg,129849
15:58884654-58885114,5.81,1.9E-12,4.280E-11,ENSRNOG00000057847,AABR07018459.1,49563,,5:161321129-161321577,3,5.23E-10,1.17E-08,ENSRNOG00000054558,AABR07050336.1,201365
15:106543346-106543693,5.8,2.31E-12,5.050E-11,ENSRNOG00000011203,Farp1,0,,11:29757848-29758406,2.46,6.07E-10,1.34E-08,ENSRNOG00000027478,Krtap11-1,47000
7:109024337-109024907,5.93,2.28E-12,5.050E-11,ENSRNOG00000025140,Zfat,12881,,17:75609243-75609563,3.55,6.67E-10,1.46E-08,ENSRNOG00000023661,Celf2,0
1:246370067-246370463,5.92,2.39E-12,5.160E-11,ENSRNOG00000051883,U6,1514,,10:59884750-59885408,4.56,8.3E-10,1.79E-08,ENSRNOG00000019659,Aspa,0
12:10363208-10364010,5.57,2.47E-12,5.270E-11,ENSRNOG00000048898,Wasf3,27710,,1:176125515-176125979,5.14,8.47E-10,1.81E-08,ENSRNOG00000029082,RGD1566189,46391
19:11309592-11310201,4.61,2.89E-12,6.100E-11,ENSRNOG00000043098,Mt2A,853,,18:76782677-76783094,3.18,8.71E-10,1.84E-08,ENSRNOG00000059215,Pqlc1,0
7:11919490-11919843,4.18,2.95E-12,6.160E-11,ENSRNOG00000029028,Mknk2,335,,1:85382670-85383073,2.59,8.87E-10,1.85E-08,ENSRNOG00000058388,Zfp36,64
6:39361477-39361981,4.53,3.15E-12,6.480E-11,ENSRNOG00000004084,Fam84a,0,,3:81588168-81588593,3.41,9.21E-10,1.90E-08,ENSRNOG00000007989,Chst1,75362
16:60785723-60786216,2.92,3.41E-12,6.950E-11,ENSRNOG00000061769,AABR07026044.1,6364,,10:29222375-29222902,2.35,9.5E-10,1.93E-08,ENSRNOG00000042335,Rn60_10_0291.1,23000
7:121552266-121552584,5.22,3.58E-12,7.200E-11,ENSRNOG00000060407,Cacna1i,0,,1:162412865-162413260,4.36,1.13E-09,2.27E-08,ENSRNOG00000012494,Kctd14,6002
19:11290505-11291036,3.27,3.87E-12,7.700E-11,ENSRNOG00000025764,Mt1,11089,,1:246370067-246370463,5.19,1.19E-09,2.36E-08,ENSRNOG00000051883,U6,1514
8:53071420-53071970,2.74,4.08E-12,8.020E-11,ENSRNOG00000029980,Zbtb16,0,,7:117846115-117846655,1.92,1.21E-09,2.38E-08,ENSRNOG00000016566,Arhgap39,0
11:35170060-35170617,3.17,4.57E-12,8.880E-11,ENSRNOG00000054899,7SK,11682,,11:64640997-64641459,3.17,1.26E-09,2.45E-08,ENSRNOG00000003088,Arhgap31,0
3:173846245-173846609,4.14,5.5E-12,1.060E-10,ENSRNOG00000057996,Phactr3,0,,3:150210319-150210662,3.99,1.35E-09,2.59E-08,ENSRNOG00000046585,AABR07054370.1,0
6:9740372-9740729,3.82,7.11E-12,1.350E-10,ENSRNOG00000015603,Prkce,49693,,1:164508344-164508841,3.53,1.43E-09,2.72E-08,ENSRNOG00000030404,Arrb1,0
4:31780020-31780454,5.73,7.37E-12,1.390E-10,ENSRNOG00000009957,Slc25a13,49635,,20:29527864-29528621,2.97,1.71E-09,3.22E-08,ENSRNOG00000000576,Anapc16,16008
12:24028221-24028591,4.05,7.5E-12,1.400E-10,ENSRNOG00000001442,Por,0,,20:29532005-29532623,2.19,1.73E-09,3.22E-08,ENSRNOG00000000576,Anapc16,12006
4:62873580-62874002,2.72,7.94E-12,1.460E-10,ENSRNOG00000011750,Fam180a,13135,,8:65031682-65032133,2.96,1.75E-09,3.22E-08,ENSRNOG00000051221,Rn60_8_0647.2,28387
3:154677577-154677940,3.93,9.78E-12,1.780E-10,ENSRNOG00000014424,RGD1563354,4342,,1:94606237-94606630,5.17,1.79E-09,3.26E-08,ENSRNOG00000027724,Plekhf1,2747
7:48650306-48650706,3.86,1.25E-11,2.260E-10,ENSRNOG00000061159,AABR07056953.1,3816,,18:39820618-39821023,4.35,1.86E-09,3.35E-08,ENSRNOG00000061296,SNORA17,24426
3:162862110-162862532,4.03,1.35E-11,2.400E-10,ENSRNOG00000006052,Sulf2,0,,2:29334527-29335055,2.75,2.11E-09,3.77E-08,ENSRNOG00000017249,Zfp366,75524
20:44716699-44717135,4,1.54E-11,2.720E-10,ENSRNOG00000000595,Traf3ip2,0,,3:124226954-124227655,2.6,2.15E-09,3.80E-08,ENSRNOG00000021256,Adra1d,81389
2:29737857-29738372,3.04,1.62E-11,2.840E-10,ENSRNOG00000017428,Map1b,0,,7:31864096-31864479,3.95,2.52E-09,4.41E-08,ENSRNOG00000008797,Tmpo,0
1:73760404-73760835,5.86,1.69E-11,2.930E-10,ENSRNOG00000032699,Ttyh1,7277,,4:31780020-31780454,5.11,2.56E-09,4.44E-08,ENSRNOG00000009957,Slc25a13,49635
20:8094757-8095461,3.71,1.72E-11,2.950E-10,ENSRNOG00000000508,Armc12,14174,,15:24881158-24881577,3.62,2.61E-09,4.48E-08,ENSRNOG00000060872,AABR07017513.1,0
4:118631301-118631729,3.51,1.94E-11,3.300E-10,ENSRNOG00000018317,Aak1,23999,,1:240831285-240832016,1.79,2.64E-09,4.49E-08,ENSRNOG00000046395,RGD1561453,53919
6:76226958-76227296,3.93,2.03E-11,3.410E-10,ENSRNOG00000007114,Psma6,21533,,10:64458282-64458703,5.14,2.79E-09,4.69E-08,ENSRNOG00000008178,Nxn,0
5:167774612-167775210,2.21,2.24E-11,3.730E-10,ENSRNOG00000018229,Slc45a1,78265,,8:62496779-62497112,5.07,2.85E-09,4.75E-08,ENSRNOG00000019579,Edc3,0
1:94606237-94606630,5.61,2.53E-11,4.180E-10,ENSRNOG00000027724,Plekhf1,2747,,20:8094757-8095461,3.4,2.97E-09,4.87E-08,ENSRNOG00000000508,Armc12,14174
1:177287182-177287472,4.62,2.63E-11,4.310E-10,ENSRNOG00000015713,Parva,0,,2:202550212-202550580,3.55,0.000000003,4.87E-08,ENSRNOG00000019754,Gdap2,23364
3:2703081-2703521,4.41,2.93E-11,4.750E-10,ENSRNOG00000028730,Lcn12,13013,,2:197991566-197991982,3.37,0.000000003,4.87E-08,ENSRNOG00000042717,Ciart,0
3:81588168-81588593,3.77,3.15E-11,5.060E-10,ENSRNOG00000007989,Chst1,75362,,18:73675227-73675638,4.34,3.33E-09,5.34E-08,ENSRNOG00000017410,Loxhd1,0
3:150210319-150210662,4.2,3.71E-11,5.900E-10,ENSRNOG00000046585,AABR07054370.1,0,,18:57066125-57066795,3.1,3.96E-09,6.24E-08,ENSRNOG00000019403,Afap1l1,0
15:108002423-108002814,4.16,4E-11,6.310E-10,ENSRNOG00000011969,Dock9,0,,5:139328330-139328711,4.05,3.95E-09,6.24E-08,ENSRNOG00000032183,Scmh1,56718
10:84869078-84869463,4.64,4.18E-11,6.540E-10,ENSRNOG00000049162,Prr15l,2217,,14:44774106-44774516,4.09,4.25E-09,6.65E-08,ENSRNOG00000002932,Wdr19,6987
3:162595615-162595920,4.41,4.39E-11,6.810E-10,ENSRNOG00000051007,AABR07054586.1,11791,,10:84894207-84894722,2.39,4.34E-09,6.72E-08,ENSRNOG00000010492,Sp2,0
17:40485713-40486112,4.6,4.49E-11,6.900E-10,ENSRNOG00000059482,AABR07027672.1,313288,,11:35170060-35170617,2.64,4.76E-09,7.18E-08,ENSRNOG00000054899,7SK,11682
8:85325021-85325378,4.28,4.57E-11,6.960E-10,ENSRNOG00000061858,SNORA17,7608,,1:94445136-94445593,3.79,4.76E-09,7.18E-08,ENSRNOG00000055333,AABR07003040.1,5675
16:20357825-20358287,4.3,4.62E-11,6.970E-10,ENSRNOG00000019009,Arrdc2,1214,,15:58884654-58885114,5.14,4.74E-09,7.18E-08,ENSRNOG00000057847,AABR07018459.1,49563
6:44511150-44511596,4.12,5.47E-11,8.180E-10,ENSRNOG00000052618,AABR07063740.1,72103,,5:170641812-170642152,5.02,5.12E-09,7.62E-08,ENSRNOG00000050137,Ajap1,0
20:7998742-7999314,4.17,5.55E-11,8.240E-10,ENSRNOG00000022523,Fkbp5,0,,1:3094181-3094602,3.63,5.14E-09,7.62E-08,ENSRNOG00000052788,SNORA36,207829
1:124775761-124776512,2.21,5.8E-11,8.540E-10,ENSRNOG00000015822,Klf13,0,,8:66509367-66509900,2.3,5.33E-09,7.83E-08,ENSRNOG00000052283,AABR07070345.1,71369
12:38960383-38960755,4.3,6.29E-11,9.180E-10,ENSRNOG00000045574,Morn3,4308,,1:177148976-177149359,4.34,5.81E-09,8.42E-08,ENSRNOG00000016244,Mical2,0
14:78814331-78814848,3,7.23E-11,1.050E-09,ENSRNOG00000058202,Ppp2r2c,0,,19:11290505-11291036,2.87,5.82E-09,8.42E-08,ENSRNOG00000025764,Mt1,11089
19:53630878-53631360,4.16,8.82E-11,1.270E-09,ENSRNOG00000017905,Map1lc3b,0,,13:71607018-71607738,4.01,6.47E-09,9.28E-08,ENSRNOG00000054898,AABR07021433.1,0
12:16934485-16934853,5.84,9.2E-11,1.310E-09,ENSRNOG00000001277,Mafk,0,,15:42983351-42983768,3.27,6.57E-09,9.34E-08,ENSRNOG00000009449,Trim35,6560
10:84894207-84894722,2.79,9.79E-11,1.380E-09,ENSRNOG00000010492,Sp2,0,,2:33060065-33060475,5.16,6.62E-09,9.34E-08,ENSRNOG00000027002,Mast4,34795
4:179304813-179305262,3.84,9.88E-11,1.380E-09,ENSRNOG00000015514,Bcat1,0,,X:15872811-15873196,3.06,6.92E-09,9.69E-08,ENSRNOG00000028611,AABR07037203.1,75657
8:74102619-74103142,4.03,1.17E-10,1.630E-09,ENSRNOG00000057854,AABR07070527.1,49087,,19:53630878-53631360,3.46,7.32E-09,1.01E-07,ENSRNOG00000017905,Map1lc3b,0
9:98574909-98575298,3.8,1.29E-10,1.780E-09,ENSRNOG00000020254,Per2,0,,1:240687904-240688329,4,7.24E-09,1.01E-07,ENSRNOG00000027770,Trpm3,0
20:29484054-29484492,4.4,1.52E-10,2.080E-09,ENSRNOG00000030408,Dnajb12,20317,,2:254382126-254382645,2.07,7.4E-09,1.01E-07,ENSRNOG00000053050,U6,41927
13:71607018-71607738,4.27,1.61E-10,2.190E-09,ENSRNOG00000054898,AABR07021433.1,0,,1:170571341-170571701,4.06,7.91E-09,1.07E-07,ENSRNOG00000018766,Rrp8,2648
1:131215980-131216360,4.8,1.91E-10,2.580E-09,ENSRNOG00000058019,AABR07004227.1,74464,,10:86268012-86268644,2.08,8.07E-09,1.09E-07,ENSRNOG00000028417,AC142182.1,12248
1:265241772-265242124,4.12,1.96E-10,2.620E-09,ENSRNOG00000016280,Btrc,0,,9:98574909-98575298,3.56,8.2E-09,1.10E-07,ENSRNOG00000020254,Per2,0
2:183263503-183264132,3.27,2.04E-10,2.700E-09,ENSRNOG00000061763,AABR07012039.1,12576,,17:85864460-85864931,3.27,9.14E-09,1.21E-07,ENSRNOG00000016716,Armc3,49479
19:53501032-53501398,5.33,2.53E-10,3.330E-09,ENSRNOG00000042274,Fbxo31,0,,3:81507423-81507918,4.04,9.33E-09,1.23E-07,ENSRNOG00000007989,Chst1,0
5:165027733-165028100,4.3,2.86E-10,3.710E-09,ENSRNOG00000026447,Ptchd2,24771,,7:125544451-125545061,3.52,9.53E-09,1.24E-07,ENSRNOG00000012475,Prr5,31266
19:59655928-59656438,2.92,2.84E-10,3.710E-09,ENSRNOG00000061610,AABR07044148.1,0,,3:154677577-154677940,3.34,9.93E-09,1.28E-07,ENSRNOG00000014424,RGD1563354,4342
1:3094181-3094602,3.86,2.94E-10,3.780E-09,ENSRNOG00000052788,SNORA36,207829,,2:183263503-183264132,2.67,9.95E-09,1.28E-07,ENSRNOG00000061763,AABR07012039.1,12576
16:17604242-17604586,4.5,2.99E-10,3.820E-09,ENSRNOG00000042623,Sh2d4b,6529,,10:46327845-46328436,1.7,1.11E-08,1.42E-07,ENSRNOG00000053961,Med9,0
14:107440002-107440447,4.25,3.16E-10,4.010E-09,ENSRNOG00000033346,LOC100361636,44618,,14:78814331-78814848,2.51,1.12E-08,1.42E-07,ENSRNOG00000058202,Ppp2r2c,0
